id,label,layer,category,region,renderable,aging_related,status,notes
african_american,African American,factor,demographic_ethnicity,,false,false,active,
asian,Asian,factor,demographic_ethnicity,,false,false,active,
caucasian,Caucasian,factor,demographic_ethnicity,,false,false,active,
hispanic_latino,Hispanic/Latino,factor,demographic_ethnicity,,false,false,active,
men,Men,factor,demographic_sex,,false,true,active,
women,Women,factor,demographic_sex,,false,true,active,
general_diet_quality,General diet quality,factor,dietary_subfactor,,false,true,active,
protein_deficiency,Protein deficiency,factor,dietary_subfactor,,false,true,active,
vitamin_a_deficiency,Vitamin A deficiency,factor,dietary_subfactor,,false,true,active,
vitamin_a_excess,Vitamin A excess,factor,dietary_subfactor,,false,true,active,
vitamin_b12_deficiency,Vitamin B12 deficiency,factor,dietary_subfactor,,false,true,active,
vitamin_b2_deficiency,Vitamin B2 deficiency,factor,dietary_subfactor,,false,true,active,
vitamin_b6_deficiency,Vitamin B6 deficiency,factor,dietary_subfactor,,false,true,active,
alcohol,Alcohol,factor,lifestyle_factor,,false,true,active,
diet,Diet,factor,lifestyle_factor,,false,true,active,
smoking,Smoking,factor,lifestyle_factor,,false,true,active,
stress,Stress,factor,lifestyle_factor,,false,true,active,
uv_exposure,UV exposure,factor,lifestyle_factor,,false,true,active,
crow_feet,Crow's feet,feature,aging_feature,eye corners,true,true,active,
deep_nasolabial_folds,Deep nasolabial folds,feature,aging_feature,nasolabial region,true,true,active,
dry_skin,Dry/coarse skin,feature,aging_feature,entire face,true,true,active,
dull_skin_tone,Dull skin tone,feature,aging_feature,entire face,true,true,active,
facial_puffiness,Facial puffiness,feature,aging_feature,entire face,true,true,active,
facial_wrinkles,Facial wrinkles,feature,aging_feature,entire face,true,true,active,
forehead_wrinkles,Forehead wrinkles,feature,aging_feature,forehead,true,true,active,
jowls,Jowls,feature,aging_feature,lower cheek and jaw,true,true,active,
lower_face_sagging,Lower-face sagging,feature,aging_feature,lower face,true,true,active,
marionette_lines,Marionette lines,feature,aging_feature,mouth and chin,true,true,active,
nasolabial_folds,Nasolabial folds,feature,aging_feature,nasolabial region,true,true,active,
under_eye_circles,Under-eye circles,feature,aging_feature,under-eye,true,true,active,
uneven_skin_tone,Uneven skin tone,feature,aging_feature,entire face,true,true,active,
cheilitis,Cheilitis,feature,clinical_condition,lips,true,false,active,
ocular_xerosis,Conjunctival/corneal xerosis,feature,clinical_condition,eyes,false,false,active,
bimaxillary_protrusion,Bimaxillary protrusion,feature,facial_morphology,mouth and jaw,true,false,active,
broad_nasal_base,Broad nasal base,feature,facial_morphology,nose,true,false,active,
broad_nose,Broad nose,feature,facial_morphology,nose,true,false,active,
broad_rounded_face,Broad rounded face,feature,facial_morphology,entire face,true,false,active,
flat_midface,Flat midface,feature,facial_morphology,midface,true,false,active,
full_upper_eyelids,Full upper eyelids,feature,facial_morphology,upper eyelids,true,false,active,
high_eyebrows,High eyebrows,feature,facial_morphology,eyebrows,true,false,active,
increased_bizygomatic_width,Increased bizygomatic width,feature,facial_morphology,cheekbones,true,false,active,
low_lip_volume,Lower lip volume,feature,facial_morphology,lips,true,false,active,
low_nasal_bridge,Low nasal bridge,feature,facial_morphology,nose,true,false,active,
narrow_nasal_base,Narrow nasal base,feature,facial_morphology,nose,true,false,active,
orbital_proptosis,Orbital proptosis,feature,facial_morphology,eyes,true,false,active,
prominent_lips,Prominent lips,feature,facial_morphology,lips,true,false,active,
receded_chin,Receded chin,feature,facial_morphology,chin,true,false,active,
reduced_nasal_projection,Reduced nasal projection,feature,facial_morphology,nose,true,false,active,
wide_round_face,Wide/round face,feature,facial_morphology,entire face,true,false,active,
alopecia,Alopecia,feature,hair_feature,hair,true,false,active,
lanugo_like_hair,Lanugo-like hair,feature,hair_feature,forehead and ears,true,false,active,
tooth_decay,Tooth decay,feature,oral_health_condition,mouth,false,false,active,
darkened_lips,Blue/blackish lips,feature,pigmentation_feature,lips,true,false,active,
hyperpigmentation,Hyperpigmentation,feature,pigmentation_feature,entire face,true,true,active,
inconsistent_facial_pigmentation,Inconsistent facial pigmentation,feature,pigmentation_feature,entire face,true,true,active,
sunspots,Sunspots,feature,pigmentation_feature,"cheekbones, nose, forehead",true,true,active,
yellow_orange_pigmentation,Yellow/orange pigmentation,feature,pigmentation_feature,nasolabial folds and forehead,true,false,active,
acne,Acne,feature,skin_condition,T-zone or entire face,true,false,active,
desquamation,Desquamation,feature,skin_condition,entire face,true,false,active,
eczema,Eczema,feature,skin_condition,"cheeks, eyes, mouth",true,false,active,
nodular_elastosis,Nodular elastosis,feature,skin_condition,entire face,true,true,active,
seborrheic_eruption,Seborrheic eruption,feature,skin_condition,nasolabial folds and eyebrows,true,false,active,
enlarged_pores,Enlarged pores,feature,skin_texture_feature,entire face,true,true,active,
broken_capillaries,Broken capillaries,feature,vascular_feature,entire face,true,true,active,
facial_redness,Facial redness,feature,vascular_feature,nose and neck,true,true,active,
spider_veins,Spider veins,feature,vascular_feature,cheek,true,true,active,
