id,label,layer,category,region,notes
african_american,African American,factor,demographic_ethnicity,,
asian,Asian,factor,demographic_ethnicity,,
caucasian,Caucasian,factor,demographic_ethnicity,,
hispanic_latino,Hispanic/Latino,factor,demographic_ethnicity,,
men,Men,factor,demographic_sex,,
women,Women,factor,demographic_sex,,
excess_of_vitamin_a,Excess of Vitamin A,factor,dietary_factor,,
general,General,factor,dietary_factor,,
lack_of_protein,Lack of Protein,factor,dietary_factor,,
lack_of_vitabmin_b12,Lack of Vitabmin B12,factor,dietary_factor,,
lack_of_vitamin_a,Lack of Vitamin A,factor,dietary_factor,,
lack_of_vitamin_b2,Lack of Vitamin B2,factor,dietary_factor,,
lack_of_vitamin_b6,Lack of Vitamin B6,factor,dietary_factor,,
alcohol,Alcohol,factor,lifestyle,,
diet,Diet,factor,lifestyle,,
smoking,Smoking,factor,lifestyle,,
stress,Stress,factor,lifestyle,,
uv_exposure,UV Exposure,factor,lifestyle,,
acne,Acne,feature,visible_phenotype,Entire face,
alopecia,alopecia,feature,visible_phenotype,Hair,
bimaxillary_protrusion,Bimaxillary Protrusion,feature,visible_phenotype,,
bimiaxillary_protrusion,Bimiaxillary Protrusion,feature,visible_phenotype,,
blue_blackish_lips,Blue/Blackish lips,feature,visible_phenotype,Mouth,
broad_nasal_base,Broad Nasal Base,feature,visible_phenotype,,
broad_rounded_face,Broad rounded face,feature,visible_phenotype,,
broader_nose,Broader nose,feature,visible_phenotype,,
broken_capillaries,Broken capillaries,feature,visible_phenotype,Entire face,
cheilitis,cheilitis,feature,visible_phenotype,Lips,
coarse_dry_skin,Coarse/Dry skin,feature,visible_phenotype,Entire face,
conjunctival_and_corneal_xerosis,conjunctival and corneal xerosis,feature,visible_phenotype,Eyes,
crows_feet,Crow's Feet,feature,visible_phenotype,,
decreased_nasal_projection,Decreased Nasal Projection,feature,visible_phenotype,,
desquamation,desquamation,feature,visible_phenotype,Entire face,
dull_and_uneven_skin_tone,Dull and uneven skin tone,feature,visible_phenotype,Entire face,
eczema,Eczema,feature,visible_phenotype,"Cheeks, eyes, mouth",
enlarged_pores,Enlarged pores,feature,visible_phenotype,Entire face,
eye_circles,Eye circles,feature,visible_phenotype,Eye,
flatter_midface,Flatter midface,feature,visible_phenotype,,
forehead_wrinkles_20_60,Forehead wrinkles (20-60),feature,visible_phenotype,,
fuller_upper_eyelid,Fuller upper Eyelid,feature,visible_phenotype,,
higher_eyebrows,Higher Eyebrows,feature,visible_phenotype,,
hyperpigmentation,Hyperpigmentation,feature,visible_phenotype,Entire face,
inconsistent_face_pigmentation,Inconsistent face pigmentation,feature,visible_phenotype,,
increased_bizygomatic_distance,Increased bizygomatic distance,feature,visible_phenotype,,
jowls,Jowls,feature,visible_phenotype,"Lower cheek, jaw",
lanugo_like_hair,lanugo-like hair,feature,visible_phenotype,"Forehead, eats",
lips_w_less_volume,Lips w/ less volume,feature,visible_phenotype,,
lower_face_sagging,Lower face Sagging,feature,visible_phenotype,,
lower_face_sagging_40,Lower face sagging (40+),feature,visible_phenotype,,
lower_nasal_bridge,Lower Nasal Bridge,feature,visible_phenotype,,
marionette_lines_18_40,Marionette Lines (18-40),feature,visible_phenotype,,
more_wrinkling,More wrinkling,feature,visible_phenotype,Entire face,
narrower_nasal_base,Narrower Nasal Base,feature,visible_phenotype,,
nodular_elastosis,Nodular elastosis,feature,visible_phenotype,Entire face,
orbital_proptosis,Orbital Proptosis,feature,visible_phenotype,,
profound_nasolabial_folds,Profound nasolabial folds,feature,visible_phenotype,,
promient_lips,Promient lips,feature,visible_phenotype,,
pronounced_nasolabial,Pronounced nasolabial,feature,visible_phenotype,Nose,
protuberant_lips,Protuberant Lips,feature,visible_phenotype,,
puffiness,Puffiness,feature,visible_phenotype,Entire face,
receded_chin,Receded Chin,feature,visible_phenotype,,
redness,Redness,feature,visible_phenotype,"Nose, neck",
seborrheic_eruption,seborrheic eruption,feature,visible_phenotype,"Nasolabial folds, eyebrows",
spider_veins,Spider Veins,feature,visible_phenotype,Cheek,
sunspots,Sunspots,feature,visible_phenotype,"Cheekbones, nose, forehead",
tooth_decay,Tooth decay,feature,visible_phenotype,Mouth,
uneven_complexion,Uneven Complexion,feature,visible_phenotype,Entire face,
wider_rounder_face,Wider/Rounder Face,feature,visible_phenotype,,
xerosis,xerosis,feature,visible_phenotype,Entire face,
yellow_orange_pigmentation,yellow/orange pigmentation,feature,visible_phenotype,"Nasolabial folds, forehead",
